category,proverb
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"У марце зіма не гніе, у апрэлі трава не расце. 
а) У сакавіку зімы не гоне, a ў красавіку трава не расце."
СЕЛЬСКАЯ ГАСПАДАРКА,"Дзе гультай ходзіць, там зямля не родзіць."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рыбаку хуць не рыбна, дак юшна. 
а) Хоць не рыбна, дак юшна. 
б) Хоць не рыбіна, да юшка."
ПРАЦА,"Умеў памыліцца, умей i паправіцца."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Баба Хваўроння збіла з падвор'я, да воля гасподня не быць без падвор'я."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",У Саўкі смаляныя лаўкі.
ХАРЧАВАННЕ,"Відзіць то бог, ад чаго жывот засох."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Бліжэй к целу сарочка, як кахтан. 
a) Бліжша кашуля ад сярмягі."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Блізка відаць (зіраць), ды далека дыбаць. 
а) Хоць відаць, ды далека дыбаць."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Нідзе так, як там."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Які пан, такі крам."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Дурны той поп, што свята не знае."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Казённае i ў агню не прападзе. 
а) Казённае дабро i ў агні не гарыць, i ў вадзе не топіцца,. i ў злодзея знайдзецца."
ЗАКОНЫ. ТУРМА,"Багачу красць, а худаку атвячаць."
СЛУЖБА. НАЙМЫ,Кепская работа — кепская заплата.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Hi сабе паглядзець, ні людзям паказаць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Няхай бы яшчэ гаварылі, каб суседзі былі."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,З чужэй ніўкі на душу i ў душу.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Нашы дзяды не зналі бяды, але ж унукі набраліся мукі.
а) Дзяды не зналі бяды; насталі ўнукі, набяруцца мукі. 
б) Дзяды не зналі бяды, a ўнукі даждаліся мукі."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Фіць выйграў, фіць прайграў."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Хоць да Кракава, усюды аднакава."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",У холад кожны молад.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Hi ў сакавіку вады, ні ў красавіку травы."
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто спіць да слонца, таго хлеб у машонцы."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Калі рыбна, дак i юшна."
ПРАЦА,Працуеш i смаку не чуеш.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"На сваім падвор'і i сабака пан. 
а) На сваём падворку i сабака адважнейшы."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",На сваей лаве ніхто не скажа: адсунься.
ХАРЧАВАННЕ,Парожня ложка нікому не міла.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Бліжша сарочка, як кажух."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Дарога на канцы языка. 
а) Няведама дарога на канцы языка."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Там добра, дзе нас няма, а дзе мы будзем, там забрудзім. 
а) Там добра, дзе нас няма, а дзе мы будзем, усюдай папсуем. 
б) Там харашо, дзе нас няма, а дзе мы пабудзем, там напаскудзім."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Паненка без голкі не ўбярэцца, без нажа не разбярэцца."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Папа ведаюць усе, а поп нікога."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Казённага чорт не возьме.
ЗАКОНЫ. ТУРМА,"Не судзіся з багатым, a судзіся з справядлівым."
СЛУЖБА. НАЙМЫ,"Паводле працы i заплата. 
а) Па заслузе заплата."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Што зрабі, саграшы, толькі людзям скажы."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не даўшы — не сусед, а даушы — сабе нет. 
а) Не дай — не сусед, дай — сабе нет."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Жэб так было, як няма."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда не раве, да спаць не дае."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Купі да i лупі.
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Не адразу Кракаў пабудавалі. 
а) Не разам Кракаў будаван."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Як мароз ды холад, дык i стар молад."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Ноччу трашчыць, a ўдзень плюшчыць."
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто доўга спіць, той хлеб толькі сніць."
ПРОМЫСЛЫ I РАМЕСТВЫ,Кала рыбы хадзіў — рыбы нанюхаўся.
ПРАЦА,Працуй i смак чуй.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"I верабяк на сваім падворку спраўны. 
а) На сваім сметніку i гарабей гаспадар."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Хата рагата, на каждым рагу найдзеш работу.
а) Хата рагата, дзела ў ей шмат. 
б) Хата рагата: усяго многа нада."
ХАРЧАВАННЕ,"У месце жыць весяло, толькі есці нечаго."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Хоць папросту, але ў сваім."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"На канцы языка Кіеў стаіць.
а) Язык да Кіева давядзе. 
б) Язык Кіева дапытаецца."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,Там табе вароты пірагамі затканы.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Знаць пана па халявах.
а) Відаць пана па халяве.
б) Bi дна пан па халявах. 
в) Відна пан па халяўцы."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Папа ўсе знаюць, а поп — багатых."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Якія тут святкі, калі лупяць падаткі."
ЗАКОНЫ. ТУРМА,"Добра з тым судзіцца, хто бога баіцца."
СЛУЖБА. НАЙМЫ,"Заплата за заплату. 
а) Прыляпі лату — будзе табе заплата."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"У лясу рубяць, a ў мір шчэпы ляцяць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Суседу ўгадзі — сабе абгаладзі.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Уздыхаю, бо свайго не маю."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда не дуда: пішчыць, а не грае."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Што купіць, то дорага, а што прадаць, то танё."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Батура — сабачча
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Мароз вялік, стаяць не вяліць."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Марац адмарозіць палец. 
а) Марац укусіць за палец. 
б) Пытае марац, чы цёпла ў палец. 
в) Марац шчыпле за палец."
СЕЛЬСКАЯ ГАСПАДАРКА,"Распёрла яго, як вала, а работы няма."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рыбу еш, да рабака не з'еш."
ПРАЦА,Прымусовая работа самая цяжкая.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,У сваім гародзе роўны ваяводзе.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","У бальшом даму чаго не хвацісь, то нет."
ХАРЧАВАННЕ,"Не ў россыць есць, як няма чаго."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Хоць дзіравае, ды свае."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Язык i Варшавы дапытае.
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"На Падоллі пірагі на коллі, а мы прыйшлі i там ix не знайшлі."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Пана i ў рагожы ўзнаюць.
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","З бальшым пузам на папоў двор. 
а) 3 доўгімі рукамі на папоў двор."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Ад налогу няма дапамогу.
ЗАКОНЫ. ТУРМА,"Кабыла з ваўком цягалася — хвост ды грыўка асталася. 
а) Каза з ваўком цягалася — ножкі ды рожкі засталіся."
СЛУЖБА. НАЙМЫ,"Заплата ў ката, быле душа не была галадна. 
а) Заплата ў ката, абы кішка не пуста."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"У міру, як на бальшом піру: хто скачыць, а хто плачыць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Пусці суседа ў хату, то сам выбірайся з хаты. 
а) Пусці падсуседа ў хату, а сам з хаты. 
б) Падсусед на парог, а сам за парог."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Мяшок парожні, a ў мяшку дзіра."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда як дуда: зачнеш дуць, аж слёзы набягуць. 
а) Бяда як дуда: станеш дуць, слёзы самі йдуць."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Чаго не купляць, таго не шкадаваць."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Помніць караля Батораго (Батуру). 
а) Помніць кроля Баторэга i цвечка era. 
б) Гэта яшчэ было, як ваяваў кроль Батура."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Мароз невялік, ды стаяць не вяліць."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"У марцы яшчэ мерзнуць старцы. 
а) У марцы памерзнуць старцы."
СЕЛЬСКАЯ ГАСПАДАРКА,"Злятайцеся, вароны, на гультаёвыя загоны."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Стралец лапці пляцець, рыбак рыбку пячэць.
а) Рыбак рыбку пячэ, a мыслівы (стралец) лапці пляце~б) Рыбак рыбку пякець, стралец лапаткі пляцець. 
в) Рыбак рыбку нясе, a ахотнік лапці пляце."
ПРАЦА,"Рукі да работы, ногі да ахвоты, галава да ўсяго."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сяджу на сваём пляцу, нікому не плачу."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Старое — то завала ў хаце, але без яго занадта многа прастору."
ХАРЧАВАННЕ,"Hi з'есці, ні спіць, ні харашо схадзіць."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Няхай сабе латы, абы не хваты. 
а) Хоць латана, абы не хватана. 
б) Хоць у латаным, абы не ў хватаным. 
в) Хоць у лапленым, ды не ў хапленым."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Хто пытае, той не блудзіць.
а) Хто дарогі пытае, той не блудзе.
б) Хто спытаець, той не заблудзіцца. 
в) Хто пытае, той не блукае."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"На чужэй старане i жук мяса. 
а) У чужым краю i жук — мяса."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Смех з панскіх ботаў: адзін згарэў, другі сабака з'еў."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","На покуці сядзіць ці поп, ці дурань."
