category,proverb,number,book_page
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Дай пакой рэчы такой: то суседская справа,1279,388
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Стой, пане-браце! A ў пана — лата на лаце",1586,412
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Больш бяды, як яды",1973,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Не варта мяняць бутло на прабіто,2205,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Сядзеў бы, пане Піліпе, сабе ў ліпе",2674,503
ПРАЦА,"Хоць рыгні, a мусіш рабіць",1559,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Ціхія воды глыбокі,91,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Якая другая палавіна сакавіка — такая першая палавійа  красавіка,376,79
СЕЛЬСКАЯ ГАСПАДАРКА,Поле роўна ляжыць ды гуляць не вяліць,921,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рыбка ў рацэ, шчасце — у руцэ",1333,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Садок летам, што кажух зімою",90,192
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Пасуда чыстату любіць,405,215
ХАРЧАВАННЕ,3 пустога збана ніхто не налье,522,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Хоць i небагаты, а не адзяваецца ў латы",1115,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Сяк-так, абы далей",1255,281
РАДЗІМА. ЧУЖЫНА,"Што горад, то нораў, а што старана, то інша навіна",89,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Белыя рукі працы баяцца,192,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Хто на каго, а чорт на папа",583,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Куку ў руку
а) Усюды трэба куку ў руку",740,346
СУД. ЗАКОНЫ. ТУРМА,"б) На воўка памоўка, а мядзведзь  цішком",22,355
СЛУЖБА. НАЙМЫ,"Як пан сядзе, то парабак ляжа",979,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Што хаўрусна, тое карысна",1114,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе забор, так i раздор",1280,388
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Сядзіць упацьмах i гаспадзін, калі шкуру дзяруць за керасін",1587,412
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Больш бяды, як наўды",1974,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Мяняй, мяняй, п'яны будзеш",2206,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Быў цар Тронка, была зямля тонка: пальцам зямлю прабівалі, ваду даставалі",2675,503
ПРАЦА,Ён i ўміраць часу не найдзе,1560,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Глыбокую ваду  не замуціш,92,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,У сакавіку туман — у жніво дождж пан,377,79
СЕЛЬСКАЯ ГАСПАДАРКА,Гарод любіць гарбатую бабу,922,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"Не той шчупак, што з вады сарваўся, а той, што ў вядры  застаўся",1334,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Быў бы сад, a салаўі прыляцяць",91,192
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Хоць мал гаршчок, да мяса варыць",406,215
ХАРЧАВАННЕ,Пакуль тая яда — доўгая нуда,523,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Даў бог стан — дасць i рукавы,1116,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Той не фурман, хто без пугі",1256,281
РАДЗІМА. ЧУЖЫНА,"а) Што горад, то нораў, што дзярэўня, то абычай",112,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Дзе адзін танцуе, там сто гаруе",193,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Паміж чартом i папом такая ж розніца, як паміж казою  i казлом",584,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Курачка сакочыць, яечка хочыць",741,346
СУД. ЗАКОНЫ. ТУРМА,"Колькі вяровачкі не віцца, канец будзець",857,355
СЛУЖБА. НАЙМЫ,"Дзякуй богу: дождж пайшоў — батраку на ад дыхание, а  гаспадару на ўздыханне",980,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Дружна i горы раўняюць,1115,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Ведае сусед, як хто ідзе ўпрысед",1281,388
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Будзеш бедаваць, калі няма на што панаваць",1588,412
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Не да каляды, калі поўна хата бяды",1975,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Мяняць — як страляць,2207,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",He навіна казаку вайна,2676,504
ПРАЦА,"Калі ўміраць, дык дзень цяраць",1561,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Што ў воду упала, то пішы прапала",93,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Як ідзе дождж у сакаўцы, то хлеба будзе ў рукаўцы, а як  Чдзе дождж у маі, то хлеба  будзе i на гультая",378,79
СЕЛЬСКАЯ ГАСПАДАРКА,Кладзі гной густа — не будзе ў свірне пуста,923,121
ПРОМЫСЛЫ I РАМЕСТВЫ,Вудаю добра толькі рыбу лавіць,1335,153
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Без пладоў дрэва не калоцяць,92,192
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Чым бочку налілі новую, то i згніе, а тым смярдзіць",407,215
ХАРЧАВАННЕ,"Як маем, так ужываем",524,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Штонядзеля сарочка бела,1117,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"А тут, вядома, без пугі и» абыйдзешся",1257,281
РАДЗІМА. ЧУЖЫНА,"Што сяло, то нораў, што край, то абычай",90,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Як кроль кралюе, так пан пануе, а мужык бедны цёнгле  гаруе",194,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",I чорт без папа не абыйдзецца,585,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Палажы на руку, пайдзець дзела ў руку",742,346
СУД. ЗАКОНЫ. ТУРМА,"Па нітачцы дойдзеш да клубочка
а) Па нітачцы клубочак знаходзяць",858,355
СЛУЖБА. НАЙМЫ,Добра батракаваў i сам гаспадаром стаў,981,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,У гурце нішто не страшна,1116,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Харошы чалавек у хату заходзіць, a ліхі ў вакно заглядае",1282,388
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Багат мой брат, от толькі лапці раты разявілі",1589,412
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда скача, бяда плача",1976,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Хто часта коні мяняе, у таго хамут гуляе
а) Стаў коньмі мяняць, стаў хамут гуляць",2208,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",На казаку няма знаку,2677,504
ПРАЦА,Праца ліха на ўзгорачку: шукай да трымай,1562,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Вада дала, вада ўзяла",94,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Сухі марац, мокры май — будзе  жыта, як гай
а) Цёплы апрэль, мокры май — будзе жыта так, як гай",319,79
СЕЛЬСКАЯ ГАСПАДАРКА,а) Кладзі навоз густа — будзе i ў свірне густа,35,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рыба клюе ў таго, хто чакае",1336,153
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,У вашэці пуста ў клеці,93,192
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",У дзіравым вядры не носяць вады,408,216
ХАРЧАВАННЕ,"Ёсць зубы, ды хлеба няма да губы
а) Ёсць зубы, ды няма хлеба",525,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Яго лепш карміць, як адзяваць
а) Лучшай вас адзяваць, чымся карміць (гадаваць)",1118,270
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Паганая пуга, a i без той туга",1258,281
РАДЗІМА. ЧУЖЫНА,"Кожнае сяльцо мае свае нараўцо
а) Дзе сялцэ, там i нараўцэ",91,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Калі пан смяецца — мужык плача,195,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Поп свае, чорт свае
а) Поп свае, а чорт свае: аддай маю малітву",586,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Рука руку мыець,743,346
СУД. ЗАКОНЫ. ТУРМА,"Знайшоў нітку, знойдзеш  i клубок",859,355
СЛУЖБА. НАЙМЫ,"На парабкаванні, як на паляванні: што падстрэліў — тое i  тваё",982,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Дружны табун i ваўкоў не баіцца
а) У дружнай стадзе i воўк не страшан",1117,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не хапайся з суседскай ласкай, калі не трэба",1283,388
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Скарэй будзеш гарбаты, чым багаты",1590,412
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Не я плачу, бяда плача, мая душа гуляць хоча",1977,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"в) Хто перабірае, у таго хамут гуляе",2208,466
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Хлеб ды вада — то казацкая яда,2678,504
ПРАЦА,"Была б ахвота, дык будзе i работа",1563,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","3 вады прышло, у ваду пашло",95,58
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Cyxi март, цёплы апрэль, мокры май — жыту будзець  ураджай
а) Cyxi  марац,  мокры май — будзе  добры  ураджай",380,79
СЕЛЬСКАЯ ГАСПАДАРКА,"Палажы гнайку, да будзе на таку
а) Палажы гнайку,  i будзець пшаніца хараша на таку",924,121
ПРОМЫСЛЫ I РАМЕСТВЫ,Худой сеткаю рыбы не наловіш,1337,153
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Выбачай, вашэці: няма болі ў клеці",94,192
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Нож як вуда, да рэзаць ім худа",409,216
ХАРЧАВАННЕ,"Зубы есць, ды няма чаго есць",526,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","б) Лепш цябе адзяваць, ніж карміць",354,270
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Благая пуга лычаная, а без няе горай
а) Худа лычная (лышняя) пуга, а без яе яшчо хужы",1259,281
РАДЗІМА. ЧУЖЫНА,"Як дзярэўня, то павер'е
а) Што ні дзярэўня — вера, што ні дом — толк",92,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Калі пан пяець, то мужыка трасца  трасець",196,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Поп кажа абразы, а чорт кажа луб'е",587,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Рука руку мые, нага нагу падпірае
а) Нага ногу падпірае, рука руку  абмывае",744,346
СУД. ЗАКОНЫ. ТУРМА,"a) Знайшоў канец, то й клубок разматаеш",859,356
СЛУЖБА. НАЙМЫ,"Служка — служцы, а пану — трасца",983,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Гуртом i ў кашы спорна,1118,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"У суседстве жывучы, не прыдзеш мукі, дык прыдзеш попелу",1284,388
